Timestamp,1. Date,2. Time,3. Cameron Basement: Enter the number of people,4. Cameron Main Floor:  Enter the number of people,5. Anything to note? Please share with Library staff any concerns or issues you observed during your shift. 
"Sunday, May 14, 2023 at 5:30:23 PM",5/14/2023,5:30 pm (Fri - Sat - Sun only),13,7,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Sunday, May 14, 2023 at 6:31:20 PM",5/14/2023,6:30 pm,11,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Sunday, May 14, 2023 at 7:50:06 PM",5/14/2023,7:30 pm,12,2,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Sunday, May 14, 2023 at 8:28:36 PM",5/14/2023,8:30 pm,8,1,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Sunday, May 14, 2023 at 9:26:42 PM",5/14/2023,9:30 pm,5,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Monday, May 15, 2023 at 6:40:22 PM",5/15/2023,6:30 pm,32,11,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Monday, May 15, 2023 at 7:41:13 PM",5/15/2023,7:30 pm,29,11,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Monday, May 15, 2023 at 8:30:02 PM",5/15/2023,8:30 pm,21,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Monday, May 15, 2023 at 9:28:27 PM",5/15/2023,9:30 pm,9,2,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 16, 2023 at 6:38:45 PM",5/16/2023,6:30 pm,37,16,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
